artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0.000,1.000,0.182,0.533,0.015,0.170,0.026,0.043,0.276,0.025,0.000,0.170,0.759,0.699,0.774,0.761,0.062,0.000,0.074,0.113
0.143,1.000,0.182,0.533,0.037,0.259,0.068,0.042,0.324,0.030,0.086,0.086,0.603,0.616,0.108,0.761,0.041,0.000,0.074,0.032
0.000,0.935,0.909,0.233,0.092,0.156,0.185,0.028,0.164,0.000,0.000,0.010,0.504,0.534,0.161,0.500,0.113,0.000,0.032,0.032
0.000,0.968,0.455,0.133,0.000,0.265,0.010,0.003,0.389,0.008,0.000,0.000,0.163,0.411,0.323,0.432,0.093,0.000,0.851,0.032
0.143,1.000,0.364,0.367,0.041,0.156,0.039,0.103,0.527,0.071,0.034,0.502,0.553,0.822,0.699,0.398,0.155,0.000,0.074,0.500
0.000,1.000,0.182,0.533,0.037,0.313,0.034,0.073,0.382,0.065,0.017,0.000,0.248,0.356,0.140,0.295,0.732,0.099,0.085,0.016
0.000,0.989,1.000,0.267,0.053,0.170,0.108,0.086,0.567,0.043,0.017,0.248,0.553,0.452,0.376,0.523,0.144,0.000,0.085,0.177
0.000,0.871,0.000,0.000,0.384,0.354,0.266,0.132,0.520,0.002,0.052,0.210,0.333,0.452,0.215,0.648,0.072,0.000,0.096,0.016
0.000,1.000,0.455,0.267,0.012,0.320,0.032,0.030,0.385,0.026,0.069,0.082,0.199,0.534,0.570,0.568,0.031,0.000,0.372,0.016
0.000,0.882,0.000,0.000,0.159,0.156,0.238,0.238,0.400,0.167,0.000,0.005,1.000,0.274,0.495,0.523,0.515,0.000,0.128,0.129
0.286,0.989,1.000,0.033,0.039,0.395,0.077,0.025,0.433,0.020,0.034,0.279,0.163,0.616,0.140,0.705,0.155,0.000,0.085,0.048
0.000,1.000,0.273,0.433,0.047,0.265,0.047,0.083,0.331,0.061,0.052,0.510,0.745,0.370,0.355,0.920,0.000,0.000,0.096,0.048
0.000,0.796,0.000,0.000,0.245,0.415,0.335,0.073,0.356,0.002,0.086,0.214,0.135,0.534,0.215,0.659,0.216,0.000,0.106,0.419
0.000,1.000,0.545,0.200,0.001,0.238,0.008,0.012,0.604,0.004,0.069,0.036,0.489,0.795,0.527,0.716,0.526,0.000,0.096,0.048
0.000,0.989,0.273,0.633,0.004,0.184,0.021,0.009,0.145,0.006,0.103,0.212,0.660,0.425,0.495,0.352,0.629,0.000,0.074,0.065
0.286,0.935,0.909,0.300,0.398,0.354,0.433,0.571,0.491,0.001,0.638,0.327,0.362,0.781,0.946,0.807,0.041,0.000,0.074,0.016
